PMC ID,adjuvant,immune_response_mechanism
PMC8691362,Alum,Activates NLRP3 inflammasome and forms a depot for slow antigen release.
PMC8691362,MPLA,Engages TLR4 pathway to promote Th1 responses.
PMC8695322,MF59,Used as adjuvant with HSV-2 glycoproteins B and D (gB2/gD2)
PMC8695322,MPL,Engages TLR4 pathway to promote Th1 responses
PMC8695322,Alum,Activates NLRP3 inflammasome and forms a depot for slow antigen release.
PMC8778544,Alum,Activates NLRP3 inflammasome and forms a depot for slow antigen release.
PMC8853290,Alum,Activates NLRP3 inflammasome and forms a depot for slow antigen release.
PMC8974753,Alum,Activates NLRP3 inflammasome and forms a depot for slow antigen release.
PMC8974753,MPLA,Engages TLR4 pathway to promote Th1 responses.
PMC8974753,Cholera toxin (CT),Co-administered with food proteins through the GI tract to induce sensitization.
PMC8974753,Staphylococcal enterotoxin B (SEB),Co-administered with food proteins through the GI tract to induce sensitization.
PMC8974753,CpG,Induces IFN-γ responses from peanut-specific T cells and increases peanut-specific IgG2a.
PMC8974753,LPS,Co-administered with peanut to induce allergy and is dependent on MyD88.
PMC8974753,Flagellin,Co-administered with peanut to induce allergy.
PMC8974753,PAM,Co-administered with peanut to induce allergy.
PMC9017465,Matrix M,Activates NLRP3 inflammasome and forms a depot for slow antigen release.
PMC9017465,Alum,Activates NLRP3 inflammasome and forms a depot for slow antigen release.
PMC9017465,AS03,Engages TLR4 pathway to promote Th1 responses.
PMC9017465,CpG 1018,Engages TLR4 pathway to promote Th1 responses.
PMC9017465,CpG 1018,Engages TLR4 pathway to promote Th1 responses.
PMC9124800,Alum,Activates NLRP3 inflammasome and forms a depot for slow antigen release.
PMC9228553,Alum,Activates NLRP3 inflammasome and forms a depot for slow antigen release.
PMC9228553,CpG,Engages TLR4 pathway to promote Th1 responses.
PMC9271922,MPLA,Engages TLR4 pathway to promote Th1 responses.
PMC9271922,CpG ODN,Augments CD8+ T-cell responses and induces both cellular and humoral immune responses.
PMC9271922,Resiquimod (R848),Elicits prominent IFN-α/β and IL-6 responses and robust cytotoxic T-cell and B-cell proliferation.
PMC9321285,Alum,Activates NLRP3 inflammasome and forms a depot for slow antigen release.
PMC9321285,MPLA,Engages TLR4 pathway to promote Th1 responses.
PMC9325128,MPLA,Engages TLR4 pathway to promote Th1 responses.
PMC9325128,Poly ICLC,"Stabilized with carboxymethylcellulose and poly-L-lysine, widely utilized as an adjuvant in therapeutic vaccines against different cancers in more than 50 clinical trials."
PMC9325128,CpG ODN,"Recognized by TLR9, promoting antigen-specific adaptive immune responses against infectious diseases and cancer."
PMC9325128,Riboxxim (RGIC®),"Activated murine and human DC and induces TLR3/RIG-I mediated antitumor immunity, demonstrated great potential in cancer immunotherapy."
PMC9325128,Imidazoquinolines,"Induces the production of cytokines including interferon-α, tumor necrosis factor-α, and interleukin-1 via TLR7-MyD88-dependent pathway."
PMC9325128,5′pppdsRNA,"Co-encapsulated with antigen peptides in lipid calcium phosphate nanoparticles, used as a nanovaccine against colorectal cancer and liver metastasis."
PMC9325128,Dimethyloxoxanthenyl acetic acid (DMXAA),"Induces the activation of NK cells and tumor-associated macrophages, leading to necrosis in tumors."
PMC9325128,Di-ABZI,"Elicits comparable binding affinity with human STING but higher potency in STING activation relative to cGAMP, significant and durable tumor regression in CT-26 tumor-bearing mice."
PMC9405528,Alum,Activates NLRP3 inflammasome and forms a depot for slow antigen release.
PMC9405528,MPLA,Engages TLR4 pathway to promote Th1 responses.
PMC9405528,R848,"TLR7/8 agonist, stimulates innate immune responses and promotes Th1 responses."
PMC9405528,CpG,"TLR9 agonist, stimulates innate immune responses and promotes Th1 responses."
PMC9405528,STING agonist,"Activates STING signaling pathway, induces type I interferons and proinflammatory cytokines, and promotes innate immune responses."
PMC9405528,CpG oligodeoxynucleotides,"TLR9 agonist, stimulates innate immune responses and promotes Th1 responses."
PMC9493399,Azoximer bromide,"Activates melanoma differentiation-associated protein 5 (MDA5) gene expression via effects on toll-like receptor 4 (TLR 4) gene, and direct binding to cellular components of the blood."
PMC9506058,Alum,Activates NLRP3 inflammasome and forms a depot for slow antigen release.
PMC9506058,MPLA,Engages TLR4 pathway to promote Th1 responses.
PMC9530253,Alum,Activates NLRP3 inflammasome and forms a depot for slow antigen release.
PMC9737588,Alum,Activates NLRP3 inflammasome and forms a depot for slow antigen release.
PMC9737588,MPLA,Engages TLR4 pathway to promote Th1 responses.
PMC9737588,Oil in water emulsion (MF59 and AS03),"Elicit a more balanced immune response, possibly by improving antigen uptake, attracting immune cells, and promoting antigen-presenting cell migration."
PMC9737588,Toll-like receptors (TLR4 and TLR7),"Induce the production of Interleukin-1, which can activate alveolar macrophages."
PMC9737588,Aluminum salt,Activates NLRP3 inflammasome and forms a depot for slow antigen release.
PMC9737588,MPLA,Engages TLR4 pathway to promote Th1 responses.
PMC9737588,Oil in water emulsion (MF59 and AS03),"Elicit a more balanced immune response, possibly by improving antigen uptake, attracting immune cells, and promoting antigen-presenting cell migration."
PMC9737588,Toll-like receptors (TLR4 and TLR7),"Induce the production of Interleukin-1, which can activate alveolar macrophages."
PMC9788085,Alum,Activates NLRP3 inflammasome and forms a depot for slow antigen release.
PMC9788085,MPLA,Engages TLR4 pathway to promote Th1 responses.
PMC9788085,R848,Activates dendritic cells and promotes Th1 and Th2 responses.
PMC9788085,"STING agonist 2, 3-cyclic-GMP-AMP (cGAMP)",Activates STING and promotes Th1 and Th2 responses.
PMC9788085,CpG oligonucleotides,Activates Toll-like receptor 9 (TLR9) and promotes Th1 responses.
PMC9810991,MPLA,Engages TLR4 pathway to promote Th1 responses.
PMC9857197,Alum,Activates NLRP3 inflammasome and forms a depot for slow antigen release.
PMC9857197,MPLA,Engages TLR4 pathway to promote Th1 responses.
PMC9857197,IC31,"Works as a carrier to translocate ODN1a into the cell without cell membrane permeabilisation, and ODN1a acts as an agonist on the TLR9 receptor, that is normally activated by bacterial DNA."
PMC9857197,CpG ODN,"Toll-like receptor agonist, specifically recognized by Toll-like receptors 9"
PMC9857197,Starch,"Recognised by C-type lectin DC specific ICAM-3-grabbing nonintegrin, specific for α-glucan and can elicit specific immune response"
PMC9863224,Alum,Activates NLRP3 inflammasome and forms a depot for slow antigen release.
PMC9927404,Alum,"Induces endogenous DAMPs, including DNA-based TNAs, that activate nucleic acid sensing pathways."
PMC9927404,AS15,"Induces both humoral and cellular immune responses, and agonist of TLR3 and MDA5."
PMC9927404,K3 CpG + cGAMP,"Induces both humoral and cellular immune responses, and agonist of TLR3 and MDA5."
PMC9927404,Poly-IC,"Activates TLR3 and MDA5, and stimulates immune response."
PMC9927404,Poly-ICLC (Hiltonol),"Activates TLR3 and MDA5, and stimulates immune response."
PMC9927404,Poly-IC12U (Ampligen),"Activates TLR3 and MDA5, and stimulates immune response."
PMC9927404,3M-052,"Formulated in a lipid-based nanoparticle (3M-052-AF), is being evaluated as an adjuvant for a preventive HIV vaccine."
PMC9935699,Alum,"Promotes Th2-type immunity and B cell differentiation, leading to tremendous antibody production"
PMC9935699,MPLA,Engages TLR4 pathway to promote Th1 responses
PMC9935699,QS-21,Facilitates cytosolic or vacuole pathways of cross-presentation
PMC9935699,MF59,Facilitates cytosolic or vacuole pathways of cross-presentation
PMC9935699,AS04,Upregulates potent humoral (Th2) and cellular (Th1) immune responses
PMC9935699,CBP-12,Elicits both strong cytotoxic CD8+ T cell and antibody responses
PMC9962240,Alum,Activates NLRP3 inflammasome and forms a depot for slow antigen release.
PMC9964829,Alum,Activates NLRP3 inflammasome and forms a depot for slow antigen release.
PMC9964829,MPLA,Engages TLR4 pathway to promote Th1 responses.
PMC9964829,α-GalCer,Strongly enhances antigen-specific antibody responses following oral coadministration with Dukoral® in a mice model.
PMC9979891,Alum,Toll-like receptor agonist complexed with aluminum
PMC9979891,AS03,"α-tocopherol, squalene and polysorbate 80 in an oil-in-water emulsion"
PMC9979891,CpG,Toll-like receptor agonist complexed with aluminum
PMC9998285,CpG 1018,Engages TLR4 pathway to promote Th1 responses
PMC9998285,Alum,Activates NLRP3 inflammasome and forms a depot for slow antigen release.
