adjuvant,immune_response_mechanism
Oil in water emulsion (MF59 and AS03),"Elicit a more balanced immune response, possibly by improving antigen uptake, attracting immune cells, and promoting antigen-presenting cell migration. [PMC9737588]"
PAM,Co-administered with peanut to induce allergy. [PMC8974753]
PLGA,Activates NLRP3 inflammasome and forms a depot for slow antigen release. [PMC5192354]
Poly (I:C) + poly U,Activates TLR3 and TLR7 pathways [PMC8427162]
Poly I:C,Activate TLR3 pathway to induce strong immune response. [PMC6831456]
Poly ICLC,"Stabilized with carboxymethylcellulose and poly-L-lysine, widely utilized as an adjuvant in therapeutic vaccines against different cancers in more than 50 clinical trials. [PMC9325128]"
Poly-IC,"Activates TLR3 and MDA5, and stimulates immune response. [PMC9927404]"
Poly-IC12U (Ampligen),"Activates TLR3 and MDA5, and stimulates immune response. [PMC9927404]"
Poly-ICLC,"Induces TLR3 activation, leading to the induction of cytokines such as IFN-α, TNF-α and IL-12. [PMC7911620]"
Poly-ICLC (Hiltonol),"Activates TLR3 and MDA5, and stimulates immune response. [PMC9927404]"
PorB,Enhances antigen deposition on FDCs [PMC8293096]
QS-17,Has adjuvant activity similar to QS-21 but lower toxicity [PMC8001307]
QS-18,More toxic than QS-21 due to extra β-d-glucopyranosyl (glc) unit connected to the α-L-rhamnopyranosyl (rha) unit at its 3-O position [PMC8001307]
QS-21,"Proposed to be via rapid interferon (IFN)-γ production by resident natural killer (NK) cells and CD8+ T cells in the draining lymph nodes promoting strong cellular Th1 responses. [PMC6724148] | Enhances polyfunctional T cell responses. [PMC7858666] | Activates NLRP3 inflammasome and forms a depot for slow antigen release. [PMC11315725] | Used as an adjuvant in the AN1792 vaccine to activate the immune system [PMC10295010] | Triggers the inflammasome in model systems of immunogenicity [PMC10385070] | Interacts with specific molecular targets, including dendritic cells and T cells [PMC8001307] | Facilitates cytosolic or vacuole pathways of cross-presentation [PMC9935699] | QS21 stimulates caspase-1, causing the release of high-mobility group protein B1 (HMGB1), and then activates the TLR4-MyD88 pathway [PMC7157724] | Part of the AS01 adjuvant system, which is a liposome adjuvant containing MPL and QS-21. [PMC7349596] | Activates TLR4 pathway to promote Th1 responses. [PMC8228432] | Activates NLRP3 inflammasome to induce IL-1β and IL-18 production. [PMC4922024]"
QS-7,Potentiates a balanced Th1/Th2 response with antigen-specific cytotoxic T lymphocyte (CTL) production [PMC8001307]
QS-7/18,Have similar adjuvant activity profile but QS-17 and QS-18 are more toxic than QS-21 [PMC8001307]
QS21,Engages TLR4 pathway to promote Th1 responses. [PMC4929720]
QS‐21,Engages TLR4 pathway to promote Th1 responses. [PMC10067403]
R848,"Activates dendritic cells and promotes Th1 and Th2 responses. [PMC9788085] | TLR7/8 agonist, stimulates innate immune responses and promotes Th1 responses. [PMC9405528] | Agonist of TLR7/8, transforms MDSCs into APCs and polarizes TAMs from M2 to M1. [PMC8210608]"
Resiquimod (R848),Elicits prominent IFN-α/β and IL-6 responses and robust cytotoxic T-cell and B-cell proliferation. [PMC9271922]
Resiquimod (RC),Triggers toll-like receptor (TLR) 9 (TLR9) signaling and dendritic cells (DCs) [PMC10048722]
Riboxxim (RGIC®),"Activated murine and human DC and induces TLR3/RIG-I mediated antitumor immunity, demonstrated great potential in cancer immunotherapy. [PMC9325128]"
Squalene,Mediates a local inflammatory response and increases the trafficking of antigens to draining lymph nodes [PMC10385070]
Staphylococcal enterotoxin B (SEB),Co-administered with food proteins through the GI tract to induce sensitization. [PMC8974753]
Starch,"Recognised by C-type lectin DC specific ICAM-3-grabbing nonintegrin, specific for α-glucan and can elicit specific immune response [PMC9857197]"
STING agonist,"Activates STING signaling pathway, induces type I interferons and proinflammatory cytokines, and promotes innate immune responses. [PMC9405528]"
"STING agonist 2, 3-cyclic-GMP-AMP (cGAMP)",Activates STING and promotes Th1 and Th2 responses. [PMC9788085]
TDB,Activates MINCLE and enhances Th1/Th17 responses. [PMC6678067]
TiO2,Inhibit virus adsorption and entry by binding to the surface of the virus and occupying the binding site of the virus and the cell. [PMC8400983]
"TLR2/1 agonists (e.g., Pam3Cys, Pam3CSK4)","Downregulates Th2 responses, induces IFN-γ and IL-10 production, promotes Th1 responses. [PMC7688745]"
TLR2/6 agonists,"Efficiently taken up by CD1a(+) and CD14(+) dermal DCs, resulting in a higher induction of CD8(+) T-cell responses. [PMC11359700]"
TLR9,Acts on dendritic cells and B cells to enhance GC response [PMC8293096]
"TLR9 agonists (e.g., CpG-ODN1826)","Induces Th1 responses, downregulates Th2 responses, promotes IFN-γ and IL-10 production, and induces tolerance. [PMC7688745]"
Toll-like receptors (TLR4 and TLR7),"Induce the production of Interleukin-1, which can activate alveolar macrophages. [PMC9737588]"
TPP,Accesses mitochondria through a driving force caused by the Δψm gradient [PMC4931635]
Trehalose dibehenate (TDB),Ligand of the C-type lectin receptor Mincle [PMC10385070]
VAX125,"Binds and activates cellular host pathways, leading to increased immune activation [PMC7589362]"
VSA-1,"Potentiates antigen-specific IgG, IgG1, and IgG2a antibody responses. [PMC11315725] | Similar to QS-21 in potentiating a mixed Th1/Th2 immunity and CTL production [PMC8001307]"
VSA-2,"Shows a consistently higher IgG2a/IgG1 ratio than QS-21 and GPI-0100 [PMC8001307] | Potentiates antigen-specific IgG, IgG1, and IgG2a antibody responses. [PMC11315725]"
ZPSs,"Presented on MHCII complexes, leading to T cell activation and adaptive immune responses. [PMC5467010]"
α-GalCer,"Strongly enhances antigen-specific antibody responses following oral coadministration with Dukoral® in a mice model. [PMC9964829] | Stimulates iNKT cells to promote B cell hypermutation, class-switching and immunological memory. [PMC5467010]"
β-defensin,Enhances immune response [PMC10383774]
β-glucan,Induces trained immunity through various recognition receptors on immune cells [PMC10048722]
